S.No.,Book Title,Author,Edition,OpenURL,PDF Url
1.0,Fundamentals of Power Electronics,Robert W. Erickson  Dragan  Maksimovic,2nd ed.  2001,http://link.springer.com/openurl?genre=book&isbn=978-0-306-48048-5,link.springer.com/content/pdf/10.1007%2Fb100747.pdf
2.0,Handbook of the Life Course,Jeylan T. Mortimer  Michael J.  Shanahan,2003.0,http://link.springer.com/openurl?genre=book&isbn=978-0-306-48247-2,link.springer.com/content/pdf/10.1007%2Fb100507.pdf
3.0,All of Statistics,Larry Wasserman,2004.0,http://link.springer.com/openurl?genre=book&isbn=978-0-387-21736-9,link.springer.com/content/pdf/10.1007%2F978-0-387-21736-9.pdf
4.0,Social Anxiety and Social Phobia in Youth,Christopher Kearney,2005.0,http://link.springer.com/openurl?genre=book&isbn=978-0-387-22592-0,link.springer.com/content/pdf/10.1007%2Fb99417.pdf
5.0,Discrete Mathematics,László Lovász  József Pelikán  Katalin  Vesztergombi,2003.0,http://link.springer.com/openurl?genre=book&isbn=978-0-387-21777-2,link.springer.com/content/pdf/10.1007%2Fb97469.pdf
6.0,Developmental Neurobiology,Mahendra S. Rao  Marcus Jacobson,4th ed.  2005,http://link.springer.com/openurl?genre=book&isbn=978-0-387-28117-9,link.springer.com/content/pdf/10.1007%2F0-387-28117-7.pdf
7.0,Intuitive Probability and Random Processes using MATLAB®,Steven Kay,2006.0,http://link.springer.com/openurl?genre=book&isbn=978-0-387-24158-6,link.springer.com/content/pdf/10.1007%2Fb104645.pdf
8.0,Handbook of Disaster Research,Havidan Rodriguez  Enrico L.  Quarantelli  Russell Dynes,2006.0,http://link.springer.com/openurl?genre=book&isbn=978-0-387-32353-4,link.springer.com/content/pdf/10.1007%2F978-0-387-32353-4.pdf
9.0,Handbook of the Sociology of Gender,Janet Saltzman Chafetz,1999.0,http://link.springer.com/openurl?genre=book&isbn=978-0-387-36218-2,link.springer.com/content/pdf/10.1007%2F0-387-36218-5.pdf
10.0,Handbook of Sociological Theory,Jonathan H. Turner,2001.0,http://link.springer.com/openurl?genre=book&isbn=978-0-387-36274-8,link.springer.com/content/pdf/10.1007%2F0-387-36274-6.pdf
11.0,Clinical Neuroanatomy,John Mendoza  Anne Foundas,2008.0,http://link.springer.com/openurl?genre=book&isbn=978-0-387-36601-2,link.springer.com/content/pdf/10.1007%2F978-0-387-36601-2.pdf
12.0,Acquired Brain Injury,Jean Elbaum  Deborah Benson,2007.0,http://link.springer.com/openurl?genre=book&isbn=978-0-387-37575-5,link.springer.com/content/pdf/10.1007%2F978-0-387-37575-5.pdf
13.0,Numerical Optimization,Jorge Nocedal  Stephen Wright,2nd ed.  2006,http://link.springer.com/openurl?genre=book&isbn=978-0-387-40065-5,link.springer.com/content/pdf/10.1007%2F978-0-387-40065-5.pdf
14.0,Handbook of Biological Confocal Microscopy,James Pawley,3rd ed.  2006,http://link.springer.com/openurl?genre=book&isbn=978-0-387-45524-2,link.springer.com/content/pdf/10.1007%2F978-0-387-45524-2.pdf
15.0,Ceramic Materials,C. Barry Carter  M. Grant Norton,2007.0,http://link.springer.com/openurl?genre=book&isbn=978-0-387-46271-4,link.springer.com/content/pdf/10.1007%2F978-0-387-46271-4.pdf
16.0,Principles of Fluorescence Spectroscopy,Joseph R. Lakowicz,3rd ed.  2006,http://link.springer.com/openurl?genre=book&isbn=978-0-387-46312-4,link.springer.com/content/pdf/10.1007%2F978-0-387-46312-4.pdf
